index,ID,SMILES,InChIKey,Solubility,split
0,A-10,Cc1cccc(C=C)c1,JZHGRUMIRATHIU-UHFFFAOYSA-N,-3.1231503041,1
1,A-100,Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,ODJUOZPKKHIEOZ-UHFFFAOYSA-N,-4.9528688028,1
2,A-1000,O=C1CCCCCCCCCOCCCCCO1,MKEIDVFLAWJKMY-UHFFFAOYSA-N,-3.8838494997,1
3,A-1002,CCCCCCCCCCC(C)CCCCCCCC,FFVPRSKCTDQLBP-UHFFFAOYSA-N,-6.4511045339,1
4,A-1003,NC(=O)N=NC(N)=O,XOZUGNYVDXMRKW-UHFFFAOYSA-N,-3.5462434596,1
5,A-1004,CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,ICKWICRCANNIBI-UHFFFAOYSA-N,-3.7960463334,1
6,A-1005,CC(Cc1ccc(cc1)C(C)(C)C)C=O,SDQFDHOLCGWZPU-UHFFFAOYSA-N,-3.7917820609,1
7,A-1006,COc1ccc(cc1N)C(=O)Nc2ccccc2,LHMQDVIHBXWNII-UHFFFAOYSA-N,-3.86580004,1
8,A-1007,[C-]#[O+],UGFAIRIUMAVXCW-UHFFFAOYSA-N,-2.9287991689,1
9,A-1009,CCC(C)(C)Cl,CRNIHJHMEQZAAS-UHFFFAOYSA-N,-2.5105450102,1
10,A-101,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,DCXXMTOCNZCJGO-UHFFFAOYSA-N,-5.4730005799,1
11,A-1011,N#CCN(CCN(CC#N)CC#N)CC#N,FDWRKVKXYZRYOD-UHFFFAOYSA-N,-2.8204043469,1
12,A-1013,CC(C)(C)OOC(=O)c1ccccc1,GJBRNHKUVLOCEB-UHFFFAOYSA-N,-2.7764329492,1
13,A-1014,CC(F)F,NPNPZTNLOVBDOC-UHFFFAOYSA-N,-1.3147228436,1
14,A-1015,CCC(C)(O)CCCC(C)C,DLHQZZUEERVIGQ-UHFFFAOYSA-N,-2.6942897822,1
15,A-1016,COc1ccc2NC(=S)Nc2c1,KOFBRZWVWJCLGM-UHFFFAOYSA-N,-2.7506819237,1
16,A-1018,FC(F)(F)Br,RJCQBQGAPKAMLL-UHFFFAOYSA-N,-2.6677709688,1
17,A-1020,[Zn++].CC(C)CCCCCO[P]([S-])(=S)OCCCCCC(C)C.CC(C)CCCCCO[P]([S-])(=S)OCCCCCC(C)C,SXYOAESUCSYJNZ-UHFFFAOYSA-L,-4.3707014658,1
18,A-1021,C1OC1COc2ccc3c(OCC4CO4)cccc3c2,MEVBAGCIOOTPLF-UHFFFAOYSA-N,-3.9191737976,1
19,A-1022,CC(C)=CCC\C(C)=C\COC=O,FQMZVFJYMPNUCT-YRNVUSSQSA-N,-3.7461507617,1
20,A-1023,O.O.O.O.[Pb].[Pb].[Pb].[Pb].[Pb].[O-][S]([O-])(=O)=O,BKMAZJUOHZYBFP-UHFFFAOYSA-L,-4.5661230993,1
21,A-1024,C[C@@H]1CC=C(C)[C@H](\C=C\C(C)=O)C1(C)C,JZQOJFLIJNRDHK-UZPJXDOOSA-N,-3.8026769123,1
22,A-1025,CO[SiH](CC1CCCCC1)OC,XRLIOAUFFCHSIC-UHFFFAOYSA-N,-3.0959725365,1
